canonical_id,team_idx,conference,conf_idx
BSB_ALABAMA,1,SEC,23
BSB_ARIZONA,2,Big 12,6
BSB_ARKANSAS,3,SEC,23
BSB_AUBURN,4,SEC,23
BSB_BAYLOR,5,Big 12,6
BSB_BOSTON_COLLEGE,6,ACC,1
BSB_BYU,7,Big 12,6
BSB_CINCINNATI,8,Big 12,6
BSB_CLEMSON,9,ACC,1
BSB_COASTAL_CAROLINA,10,Sun Belt,28
BSB_DUKE,11,ACC,1
BSB_EAST_CAROLINA,12,American,4
BSB_FLORIDA,13,SEC,23
BSB_GEORGIA,14,SEC,23
BSB_GEORGIA_TECH,15,ACC,1
BSB_GONZAGA,16,WCC,30
BSB_HOUSTON,17,Big 12,6
BSB_ILLINOIS,18,Big Ten,9
BSB_INDIANA,19,Big Ten,9
BSB_IOWA,20,Big Ten,9
BSB_KANSAS,21,Big 12,6
BSB_KENTUCKY,22,SEC,23
BSB_LIBERTY,23,CUSA,12
BSB_LOUISIANA,24,Sun Belt,28
BSB_LOUISVILLE,25,ACC,1
BSB_LSU,26,SEC,23
BSB_MARYLAND,27,Big Ten,9
BSB_MICHIGAN,28,Big Ten,9
BSB_MINNESOTA,29,Big Ten,9
BSB_MISSOURI,30,SEC,23
BSB_NC_STATE,31,ACC,1
BSB_NEBRASKA,32,Big Ten,9
BSB_NORTHWESTERN,33,Big Ten,9
BSB_NORTH_CAROLINA,34,ACC,1
BSB_NOTRE_DAME,35,ACC,1
BSB_OKLAHOMA,36,SEC,23
BSB_OLE_MISS,37,SEC,23
BSB_OREGON,38,Big Ten,9
BSB_PURDUE,39,Big Ten,9
BSB_RUTGERS,40,Big Ten,9
BSB_SAN_DIEGO,41,WCC,30
BSB_SOUTH_CAROLINA,42,SEC,23
BSB_STANFORD,43,ACC,1
BSB_TCU,44,Big 12,6
BSB_TENNESSEE,45,SEC,23
BSB_TEXAS,46,SEC,23
BSB_TEXAS_TECH,47,Big 12,6
BSB_UCF,48,Big 12,6
BSB_UCLA,49,Big Ten,9
BSB_UC_SANTA_BARBARA,50,Big West,10
BSB_UTAH,51,Big 12,6
BSB_VANDERBILT,52,SEC,23
BSB_VIRGINIA,53,ACC,1
BSB_VIRGINIA_TECH,54,ACC,1
BSB_WAKE_FOREST,55,ACC,1
BSB_WASHINGTON,56,Big Ten,9
BSB_WEST_VIRGINIA,57,Big 12,6
NCAA_614563,58,Patriot,22
NCAA_614564,59,Big East,7
NCAA_614565,60,Big West,10
NCAA_614566,61,Big West,10
NCAA_614567,62,Big West,10
NCAA_614568,63,Big West,10
NCAA_614569,64,Big West,10
NCAA_614570,65,WAC,29
NCAA_614572,66,ACC,1
NCAA_614573,67,Big West,10
NCAA_614574,68,Big West,10
NCAA_614576,69,Big West,10
NCAA_614577,70,CAA,11
NCAA_614578,71,MAAC,16
NCAA_614579,72,NEC,20
NCAA_614581,73,MAC,17
NCAA_614583,74,SoCon,25
NCAA_614586,75,Ivy League,15
NCAA_614587,76,Big East,7
NCAA_614588,77,NEC,20
NCAA_614589,78,Ivy League,15
NCAA_614590,79,Big East,7
NCAA_614591,80,Ivy League,15
NCAA_614592,81,Atlantic 10,5
NCAA_614593,82,Atlantic 10,5
NCAA_614594,83,NEC,20
NCAA_614595,84,CUSA,12
NCAA_614597,85,SoCon,25
NCAA_614598,86,OVC,21
NCAA_614599,87,ASUN,2
NCAA_614600,88,MAC,17
NCAA_614601,89,MAAC,16
NCAA_614602,90,NEC,20
NCAA_614603,91,SWAC,24
NCAA_614604,92,American,4
NCAA_614605,93,CUSA,12
NCAA_614606,94,ACC,1
NCAA_614608,95,Atlantic 10,5
NCAA_614609,96,Atlantic 10,5
NCAA_614610,97,Atlantic 10,5
NCAA_614611,98,Big East,7
NCAA_614612,99,Sun Belt,28
NCAA_614613,100,Sun Belt,28
NCAA_614617,101,Ivy League,15
NCAA_614618,102,Big West,10
NCAA_614619,103,CAA,11
NCAA_614620,104,Patriot,22
NCAA_614621,105,Southland,26
NCAA_614623,106,MVC,18
NCAA_614625,107,MVC,18
NCAA_614626,108,MVC,18
NCAA_614629,109,MAAC,16
NCAA_614631,110,SWAC,24
NCAA_614632,111,CUSA,12
NCAA_614633,112,ASUN,2
NCAA_614634,113,Sun Belt,28
NCAA_614635,114,Big 12,6
NCAA_614637,115,MAC,17
NCAA_614639,116,Patriot,22
NCAA_614640,117,Southland,26
NCAA_614641,118,Patriot,22
NCAA_614643,119,Big South,8
NCAA_614645,120,CUSA,12
NCAA_614647,121,America East,3
NCAA_614648,122,WCC,30
NCAA_614649,123,America East,3
NCAA_614650,124,MAAC,16
NCAA_614651,125,MAAC,16
NCAA_614652,126,Sun Belt,28
NCAA_614653,127,America East,3
NCAA_614655,128,NEC,20
NCAA_614656,129,MAC,17
NCAA_614657,130,Southland,26
NCAA_614658,131,American,4
NCAA_614659,132,SoCon,25
NCAA_614660,133,MAC,17
NCAA_614661,134,ACC,1
NCAA_614662,135,Big Ten,9
NCAA_614664,136,CUSA,12
NCAA_614666,137,SEC,23
NCAA_614667,138,SWAC,24
NCAA_614670,139,CAA,11
NCAA_614671,140,OVC,21
NCAA_614672,141,MAAC,16
NCAA_614673,142,MVC,18
NCAA_614674,143,Big South,8
NCAA_614676,144,American,4
NCAA_614677,145,SoCon,25
NCAA_614678,146,CAA,11
NCAA_614679,147,Summit League,27
NCAA_614680,148,Mountain West,19
NCAA_614681,149,Mountain West,19
NCAA_614682,150,America East,3
NCAA_614683,151,CUSA,12
NCAA_614684,152,Mountain West,19
NCAA_614685,153,Southland,26
NCAA_614686,154,MAAC,16
NCAA_614687,155,NEC,20
NCAA_614688,156,CAA,11
NCAA_614690,157,Summit League,27
NCAA_614691,158,Sun Belt,28
NCAA_614692,159,CAA,11
NCAA_614693,160,Summit League,27
NCAA_614694,161,MAC,17
NCAA_614695,162,Horizon,14
NCAA_614696,163,Southland,26
NCAA_614699,164,Horizon,14
NCAA_614700,165,Big Ten,9
NCAA_614701,166,MAC,17
NCAA_614703,167,Sun Belt,28
NCAA_614704,168,DI Independent,13
NCAA_614706,169,WCC,30
NCAA_614707,170,Southland,26
NCAA_614708,171,Big Ten,9
NCAA_614709,172,WCC,30
NCAA_614710,173,ACC,1
NCAA_614711,174,WCC,30
NCAA_614712,175,SWAC,24
NCAA_614713,176,Ivy League,15
NCAA_614715,177,MAAC,16
NCAA_614716,178,Big South,8
NCAA_614717,179,Atlantic 10,5
NCAA_614718,180,American,4
NCAA_614719,181,Atlantic 10,5
NCAA_614720,182,MAAC,16
NCAA_614722,183,MAAC,16
NCAA_614723,184,Atlantic 10,5
NCAA_614724,185,Atlantic 10,5
NCAA_614725,186,Atlantic 10,5
NCAA_614726,187,WCC,30
NCAA_614727,188,MAAC,16
NCAA_614728,189,CUSA,12
NCAA_614729,190,SoCon,25
NCAA_614730,191,Mountain West,19
NCAA_614732,192,WCC,30
NCAA_614733,193,Mountain West,19
NCAA_614734,194,WCC,30
NCAA_614735,195,Big East,7
NCAA_614736,196,MAAC,16
NCAA_614737,197,Sun Belt,28
NCAA_614739,198,Summit League,27
NCAA_614740,199,American,4
NCAA_614741,200,Southland,26
NCAA_614742,201,Big Ten,9
NCAA_614743,202,MVC,18
NCAA_614744,203,OVC,21
NCAA_614745,204,SWAC,24
NCAA_614746,205,CUSA,12
NCAA_614747,206,Sun Belt,28
NCAA_614750,207,Southland,26
NCAA_614751,208,CAA,11
NCAA_614752,209,OVC,21
NCAA_614753,210,OVC,21
NCAA_614754,211,ASUN,2
NCAA_614755,212,Big West,10
NCAA_614756,213,OVC,21
NCAA_614757,214,ASUN,2
NCAA_614758,215,OVC,21
NCAA_614759,216,NEC,20
NCAA_614760,217,NEC,20
NCAA_614761,218,WAC,29
NCAA_614762,219,American,4
NCAA_614763,220,Patriot,22
NCAA_614764,221,CUSA,12
NCAA_614765,222,SoCon,25
NCAA_614766,223,Big South,8
NCAA_614768,224,Mountain West,19
NCAA_614770,225,MVC,18
NCAA_614771,226,SWAC,24
NCAA_614772,227,NEC,20
NCAA_614774,228,Southland,26
NCAA_614775,229,Big 12,6
NCAA_614776,230,Summit League,27
NCAA_614777,231,Ivy League,15
NCAA_614778,232,Big East,7
NCAA_614779,233,OVC,21
NCAA_614780,234,Sun Belt,28
NCAA_614781,235,ASUN,2
NCAA_614783,236,NEC,20
NCAA_614784,237,ASUN,2
NCAA_614785,238,Summit League,27
NCAA_614786,239,WAC,29
NCAA_614787,240,MAC,17
NCAA_614788,241,SEC,23
NCAA_614790,242,SWAC,24
NCAA_614792,243,WAC,29
NCAA_614794,244,American,4
NCAA_614795,245,MAC,17
NCAA_614796,246,CAA,11
NCAA_614797,247,Sun Belt,28
NCAA_614798,248,Mountain West,19
NCAA_614799,249,Patriot,22
NCAA_614801,250,MVC,18
NCAA_614803,251,Big East,7
NCAA_614804,252,Atlantic 10,5
NCAA_614805,253,SoCon,25
NCAA_614808,254,NEC,20
NCAA_614810,255,Mountain West,19
NCAA_614813,256,SoCon,25
NCAA_614814,257,OVC,21
NCAA_614815,258,CUSA,12
NCAA_614816,259,MAC,17
NCAA_614817,260,American,4
NCAA_614818,261,CAA,11
NCAA_614819,262,Big South,8
NCAA_614820,263,Horizon,14
NCAA_614821,264,Horizon,14
NCAA_614822,265,Big East,7
NCAA_614823,266,Ivy League,15
NCAA_614824,267,Horizon,14
NCAA_614825,268,ASUN,2
NCAA_614826,269,MAAC,16
NCAA_614827,270,CAA,11
NCAA_614828,271,CAA,11
NCAA_614829,272,Big South,8
NCAA_614830,273,Mountain West,19
NCAA_614831,274,CUSA,12
NCAA_614832,275,Big South,8
NCAA_614833,276,WCC,30
NCAA_614834,277,SWAC,24
NCAA_614835,278,ASUN,2
NCAA_614836,279,Southland,26
NCAA_614837,280,Big South,8
NCAA_614838,281,MVC,18
NCAA_614839,282,Southland,26
NCAA_614840,283,ASUN,2
NCAA_614841,284,ASUN,2
NCAA_614842,285,WAC,29
NCAA_614843,286,ASUN,2
NCAA_614844,287,WAC,29
NCAA_614845,288,WAC,29
NCAA_614846,289,SWAC,24
NCAA_614847,290,SWAC,24
NCAA_614849,291,American,4
NCAA_614850,292,America East,3
NCAA_614851,293,SWAC,24
NCAA_614852,294,Sun Belt,28
NCAA_614853,295,Big 12,6
NCAA_614854,296,Sun Belt,28
NCAA_614856,297,OVC,21
NCAA_614858,298,ASUN,2
NCAA_614859,299,MAC,17
NCAA_614860,300,Big South,8
NCAA_614862,301,SWAC,24
NCAA_614863,302,America East,3
NCAA_614865,303,MAC,17
NCAA_614866,304,MVC,18
NCAA_614868,305,Ivy League,15
NCAA_614869,306,America East,3
NCAA_615065,307,NEC,20
NCAA_621265,308,Atlantic 10,5
